sample_id,source_platform,effect,filter_name,category,class_label,input_variant,input_image,sample_dir,video_path,render_json,params_json,pipeline_json,source_code_dir,shader_dir,shader_program_count,fbo_allocation_count,animated_param,duration_ms,fps,frames,max_effect_signal,max_temporal_change,quality_warnings
Cartoon__gray_ramp,kuaiying_plugin_library,Cartoon,Cartoon,stylize,cartoon_fill_edge,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/Cartoon/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/Cartoon/source,datasets/effect_training/kuaiying_multi_pass/effects/Cartoon/shaders,3,2,EdgeOpacity,5000,25,125,16.8,9.285,
Cartoon__model,kuaiying_plugin_library,Cartoon,Cartoon,stylize,cartoon_fill_edge,model,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__model,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/Cartoon__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/Cartoon/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/Cartoon/source,datasets/effect_training/kuaiying_multi_pass/effects/Cartoon/shaders,3,2,EdgeOpacity,5000,25,125,20.959,14.251,
ClearPictureQuality__cross_lines,kuaiying_plugin_library,ClearPictureQuality,ClearPictureQuality,detail_enhance,multi_scale_detail_enhance,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/source,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/shaders,9,12,AdjustSharpen,5000,25,125,13.844,9.243,
ClearPictureQuality__gray_ramp,kuaiying_plugin_library,ClearPictureQuality,ClearPictureQuality,detail_enhance,multi_scale_detail_enhance,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/source,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/shaders,9,12,AdjustSharpen,5000,25,125,37.663,29.519,
ClearPictureQuality__model,kuaiying_plugin_library,ClearPictureQuality,ClearPictureQuality,detail_enhance,multi_scale_detail_enhance,model,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__model,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/source,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/shaders,9,12,AdjustSharpen,5000,25,125,14.393,12.484,
ClearPictureQuality__ring_mask,kuaiying_plugin_library,ClearPictureQuality,ClearPictureQuality,detail_enhance,multi_scale_detail_enhance,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/ClearPictureQuality__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/source,datasets/effect_training/kuaiying_multi_pass/effects/ClearPictureQuality/shaders,9,12,AdjustSharpen,5000,25,125,10.212,4.143,
CrossBlur__color_gradient,kuaiying_plugin_library,CrossBlur,CrossBlur,blur_motion,cross_directional_blur,color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__color_gradient/input.png,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__color_gradient/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__color_gradient/final.json,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__color_gradient/params.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/shaders,4,4,Progress,5000,25,125,40.029,40.743,
CrossBlur__cross_lines,kuaiying_plugin_library,CrossBlur,CrossBlur,blur_motion,cross_directional_blur,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/shaders,4,4,Progress,5000,25,125,16.476,15.579,
CrossBlur__gray_ramp,kuaiying_plugin_library,CrossBlur,CrossBlur,blur_motion,cross_directional_blur,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/shaders,4,4,Progress,5000,25,125,120.859,122.112,
CrossBlur__model,kuaiying_plugin_library,CrossBlur,CrossBlur,blur_motion,cross_directional_blur,model,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__model,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/shaders,4,4,Progress,5000,25,125,51.062,52.239,
CrossBlur__rg_split,kuaiying_plugin_library,CrossBlur,CrossBlur,blur_motion,cross_directional_blur,rg_split,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__rg_split/input.png,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__rg_split,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__rg_split/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__rg_split/final.json,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__rg_split/params.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/shaders,4,4,Progress,5000,25,125,23.628,23.258,
CrossBlur__ring_mask,kuaiying_plugin_library,CrossBlur,CrossBlur,blur_motion,cross_directional_blur,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/CrossBlur__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/CrossBlur/shaders,4,4,Progress,5000,25,125,29.725,29.604,
DeepGlow__color_gradient,kuaiying_plugin_library,DeepGlow,DeepGlow,glow_bloom,threshold_gaussian_glow,color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__color_gradient/input.png,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__color_gradient/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__color_gradient/final.json,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__color_gradient/params.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/source,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/shaders,3,4,Radius,5000,25,125,62.647,63.532,
